A	B	Interactor
AT1G14170	AT1G14170	1
AT1G14170	AT5G04430	1
AT1G14170	AT1G03457	1
AT1G14170	AT1G69250	1
AT1G14170	AT3G19130	1
AT1G14170	AT5G16840	1
AT1G14170	AT5G43960	1
AT1G14170	AT1G43190	1
AT2G38610	AT2G38610	1
AT2G38610	AT3G08620	1
AT2G38610	AT5G04430	1
AT2G38610	AT1G03457	1
AT2G38610	AT1G33470	1
AT2G38610	AT1G76460	1
AT2G38610	AT1G78260	1
AT2G38610	AT2G21660	1
AT2G38610	AT2G23350	1
AT2G38610	AT3G19090	1
AT2G38610	AT3G19130	1
AT2G38610	AT3G63450	1
AT2G38610	AT4G03110	1
AT2G38610	AT4G13860	1
AT2G38610	AT4G14300	1
AT2G38610	AT4G17720	1
AT2G38610	AT5G16840	1
AT2G38610	AT5G19350	1
AT2G38610	AT5G43960	1
AT2G38610	AT5G60980	1
AT2G38610	AT1G43190	1
AT3G08620	AT3G08620	1
AT3G08620	AT5G04430	1
AT3G08620	AT1G03457	1
AT3G08620	AT1G20880	1
AT3G08620	AT1G22760	1
AT3G08620	AT1G33470	1
AT3G08620	AT1G49760	1
AT3G08620	AT1G76460	1
AT3G08620	AT2G03640	1
AT3G08620	AT2G18510	1
AT3G08620	AT2G21660	1
AT3G08620	AT2G23350	1
AT3G08620	AT2G46780	1
AT3G08620	AT4G03110	1
AT3G08620	AT4G14300	1
AT3G08620	AT5G43960	1
AT3G08620	AT4G27000	1
AT4G26000	AT4G26000	1
AT4G26000	AT1G13690	1
AT4G26000	AT1G13730	1
AT4G26000	AT1G14340	1
AT4G26000	AT2G18510	1
AT4G26000	AT2G21660	1
AT4G26000	AT4G13860	1
AT4G26000	AT4G17720	1
AT4G26000	AT5G16840	1
AT4G26000	AT5G47620	1
AT4G26000	AT1G43190	1
AT5G04430	AT5G04430	1
AT5G04430	AT2G31610	1
AT5G04430	AT1G03457	1
AT5G04430	AT1G09140	1
AT5G04430	AT1G13690	1
AT5G04430	AT1G13730	1
AT5G04430	AT1G14340	1
AT5G04430	AT1G22760	1
AT5G04430	AT1G29400	1
AT5G04430	AT1G47500	1
AT5G04430	AT1G49760	1
AT5G04430	AT1G67950	1
AT5G04430	AT1G69250	1
AT5G04430	AT1G76460	1
AT5G04430	AT2G03640	1
AT5G04430	AT2G05160	1
AT5G04430	AT2G14160	1
AT5G04430	AT2G21660	1
AT5G04430	AT2G23350	1
AT5G04430	AT2G46780	1
AT5G04430	AT3G06970	1
AT5G04430	AT3G11400	1
AT5G04430	AT3G19090	1
AT5G04430	AT3G19130	1
AT5G04430	AT3G46020	1
AT5G04430	AT3G49390	1
AT5G04430	AT3G63450	1
AT5G04430	AT4G03110	1
AT5G04430	AT4G13850	1
AT5G04430	AT4G13860	1
AT5G04430	AT4G17720	1
AT5G04430	AT5G12190	1
AT5G04430	AT5G18810	1
AT5G04430	AT5G43960	1
AT5G04430	AT5G47620	1
AT5G04430	AT5G60980	1
AT5G04430	AT1G37140	1
AT5G04430	AT1G43190	1
AT5G04430	AT1G30460	1
AT5G04430	AT5G61020	1
AT5G04430	AT4G26650	1
AT5G04430	AT4G27000	1
AT5G04430	AT3G47120	1
AT5G04430	AT1G53650	1
AT5G04430	AT5G48650	1
AT5G06770	AT3G15010	1
AT3G53870	AT5G43960	1
AT2G31610	AT1G69250	1
AT2G31610	AT2G21660	1
AT2G25355	AT1G13690	1
AT2G25355	AT5G16840	1
AT2G25355	AT5G43960	1
AT1G01080	AT1G01080	1
AT1G01080	AT1G60000	1
AT1G01080	AT1G73530	1
AT1G01080	AT1G78260	1
AT1G01080	AT2G21660	1
AT1G01080	AT2G35410	1
AT1G01080	AT3G52380	1
AT1G01080	AT4G09040	1
AT1G01080	AT1G43190	1
AT1G01080	AT3G53460	1
AT1G02840	AT1G06960	1
AT1G02840	AT1G16610	1
AT1G02840	AT1G23860	1
AT1G02840	AT1G27650	1
AT1G02840	AT1G67950	1
AT1G02840	AT2G24590	1
AT1G02840	AT2G47310	1
AT1G02840	AT2G47580	1
AT1G02840	AT3G04500	1
AT1G02840	AT3G10400	1
AT1G02840	AT3G13570	1
AT1G02840	AT3G53500	1
AT1G02840	AT3G55460	1
AT1G02840	AT4G10110	1
AT1G02840	AT5G18810	1
AT1G02840	AT5G23590	1
AT1G02840	AT5G42820	1
AT1G03457	AT1G03457	1
AT1G03457	AT1G47500	1
AT1G03457	AT1G49760	1
AT1G03457	AT1G76460	1
AT1G03457	AT1G78260	1
AT1G03457	AT2G03640	1
AT1G03457	AT2G05160	1
AT1G03457	AT2G18510	1
AT1G03457	AT2G46780	1
AT1G03457	AT3G06970	1
AT1G03457	AT3G63450	1
AT1G03457	AT4G03110	1
AT1G03457	AT4G10610	1
AT1G03457	AT4G13860	1
AT1G03457	AT5G43960	1
AT1G03457	AT5G47620	1
AT1G03457	AT3G53460	1
AT1G03457	AT4G27000	1
AT1G06960	AT1G60000	1
AT1G06960	AT4G13860	1
AT1G06960	AT5G16840	1
AT1G06960	AT3G53460	1
AT1G07350	AT4G17720	1
AT1G07360	AT1G27650	1
AT1G09140	AT1G09140	1
AT1G09140	AT5G18810	1
AT1G11650	AT1G13730	1
AT1G11650	AT1G22760	1
AT1G11650	AT1G78260	1
AT1G13690	AT2G14160	1
AT1G13690	AT2G21660	1
AT1G13690	AT2G47580	1
AT1G13690	AT3G06970	1
AT1G13690	AT4G13850	1
AT1G13690	AT4G13860	1
AT1G13690	AT5G23590	1
AT1G13690	AT5G60980	1
AT1G13730	AT1G78260	1
AT1G13730	AT2G46780	1
AT1G13730	AT4G10610	1
AT1G13730	AT4G17720	1
AT1G13730	AT5G12190	1
AT1G13730	AT5G16840	1
AT1G13730	AT5G19350	1
AT1G13730	AT5G43960	1
AT1G13730	AT5G50250	1
AT1G13730	AT5G60980	1
AT1G14340	AT1G14340	1
AT1G14340	AT2G21660	1
AT1G14340	AT3G01210	1
AT1G14340	AT3G13700	1
AT1G14340	AT5G04210	1
AT1G14340	AT5G16840	1
AT1G14340	AT5G60980	1
AT1G16610	AT1G16610	1
AT1G16610	AT1G50300	1
AT1G16610	AT2G47580	1
AT1G16610	AT3G04500	1
AT1G16610	AT3G53500	1
AT1G16610	AT5G09880	1
AT1G17370	AT1G17370	1
AT1G17370	AT1G47500	1
AT1G17370	AT1G76460	1
AT1G17370	AT2G23350	1
AT1G18630	AT1G74230	1
AT1G20880	AT1G20880	1
AT1G20880	AT1G33470	1
AT1G20880	AT1G47490	1
AT1G20880	AT1G47500	1
AT1G20880	AT1G76460	1
AT1G20880	AT1G78260	1
AT1G20880	AT2G05160	1
AT1G20880	AT2G21660	1
AT1G20880	AT2G46780	1
AT1G20880	AT3G63450	1
AT1G20880	AT4G03110	1
AT1G20880	AT4G10610	1
AT1G20880	AT5G19350	1
AT1G22760	AT1G22760	1
AT1G22760	AT1G47490	1
AT1G22760	AT1G47500	1
AT1G22760	AT1G78260	1
AT1G22760	AT2G05160	1
AT1G22760	AT2G21660	1
AT1G22760	AT2G23350	1
AT1G22760	AT2G46780	1
AT1G22760	AT4G10610	1
AT1G22760	AT4G14300	1
AT1G22760	AT5G19350	1
AT1G22760	AT5G60980	1
AT1G22760	AT4G27000	1
AT1G22760	AT1G53650	1
AT1G22760	AT5G48650	1
AT1G23860	AT1G23860	1
AT1G23860	AT2G24590	1
AT1G23860	AT2G47580	1
AT1G23860	AT3G53500	1
AT1G23860	AT3G55460	1
AT1G23860	AT5G23590	1
AT1G27650	AT2G29580	1
AT1G29400	AT2G21660	1
AT1G33470	AT1G78260	1
AT1G33470	AT2G21660	1
AT1G33470	AT2G46780	1
AT1G33470	AT4G03110	1
AT1G47490	AT1G47500	1
AT1G47490	AT1G78260	1
AT1G47490	AT2G21660	1
AT1G47490	AT2G46780	1
AT1G47490	AT3G06970	1
AT1G47490	AT3G63450	1
AT1G47490	AT4G03110	1
AT1G47490	AT4G14300	1
AT1G47500	AT1G47500	1
AT1G47500	AT1G49600	1
AT1G47500	AT1G76460	1
AT1G47500	AT1G78260	1
AT1G47500	AT2G21660	1
AT1G47500	AT2G46780	1
AT1G47500	AT3G06970	1
AT1G47500	AT3G63450	1
AT1G47500	AT4G03110	1
AT1G47500	AT4G14300	1
AT1G47500	AT5G16840	1
AT1G47500	AT5G19350	1
AT1G47500	AT5G47620	1
AT1G47500	AT5G60980	1
AT1G48920	AT1G48920	1
AT1G48920	AT2G47580	1
AT1G48920	AT3G13570	1
AT1G48920	AT5G46840	1
AT1G49600	AT1G78260	1
AT1G49600	AT2G46780	1
AT1G49600	AT5G47620	1
AT1G49760	AT2G21660	1
AT1G49760	AT2G46780	1
AT1G49760	AT3G06970	1
AT1G49760	AT3G11400	1
AT1G49760	AT3G63450	1
AT1G49760	AT4G10610	1
AT1G49760	AT4G13860	1
AT1G49760	AT5G16840	1
AT1G49760	AT5G19350	1
AT1G50300	AT1G51510	1
AT1G50300	AT3G13224	1
AT1G51510	AT3G13570	1
AT1G51510	AT5G16840	1
AT1G60000	AT1G60000	1
AT1G60000	AT1G73530	1
AT1G60000	AT1G74230	1
AT1G60000	AT2G35410	1
AT1G60000	AT2G37220	1
AT1G60000	AT3G20930	1
AT1G60000	AT3G23830	1
AT1G60000	AT3G52380	1
AT1G60000	AT4G09040	1
AT1G60000	AT3G53460	1
AT1G60000	AT3G52150	1
AT1G67950	AT2G37340	1
AT1G67950	AT5G42820	1
AT1G69250	AT1G69250	1
AT1G69250	AT2G21660	1
AT1G69250	AT4G13850	1
AT1G69250	AT5G19350	1
AT1G69250	AT5G60980	1
AT1G72800	AT1G72800	1
AT1G72800	AT2G14160	1
AT1G72800	AT5G43960	1
AT1G73530	AT3G20930	1
AT1G73530	AT4G09040	1
AT1G73530	AT3G52150	1
AT1G74230	AT1G74230	1
AT1G74230	AT3G23830	1
AT1G74230	AT4G13850	1
AT1G74230	AT5G06210	1
AT1G74230	AT5G43960	1
AT1G76460	AT1G76460	1
AT1G76460	AT1G78260	1
AT1G76460	AT2G21660	1
AT1G76460	AT2G46780	1
AT1G76460	AT3G19130	1
AT1G76460	AT4G10610	1
AT1G76460	AT4G14300	1
AT1G76460	AT5G43960	1
AT1G76460	AT5G47620	1
AT1G78260	AT1G78260	1
AT1G78260	AT2G05160	1
AT1G78260	AT2G14160	1
AT1G78260	AT2G21660	1
AT1G78260	AT2G23350	1
AT1G78260	AT2G46780	1
AT1G78260	AT3G06970	1
AT1G78260	AT3G19090	1
AT1G78260	AT3G19130	1
AT1G78260	AT3G46020	1
AT1G78260	AT3G63450	1
AT1G78260	AT4G03110	1
AT1G78260	AT4G10610	1
AT1G78260	AT4G14300	1
AT1G78260	AT5G12190	1
AT1G78260	AT5G16840	1
AT1G78260	AT5G19350	1
AT1G78260	AT5G47620	1
AT1G78260	AT1G43190	1
AT2G03640	AT2G03640	1
AT2G03640	AT2G21660	1
AT2G03640	AT2G46610	1
AT2G03640	AT3G55460	1
AT2G03640	AT5G43960	1
AT2G03640	AT5G60980	1
AT2G03640	AT1G43190	1
AT2G05160	AT2G05160	1
AT2G05160	AT2G21660	1
AT2G05160	AT2G46780	1
AT2G05160	AT3G19130	1
AT2G05160	AT5G43960	1
AT2G05160	AT5G47620	1
AT2G14160	AT2G14160	1
AT2G14160	AT5G04210	1
AT2G14160	AT5G12190	1
AT2G14160	AT5G16840	1
AT2G16940	AT3G13570	1
AT2G18510	AT3G63450	1
AT2G18510	AT5G43960	1
AT2G18510	AT5G47620	1
AT2G18510	AT5G66010	1
AT2G21660	AT2G21660	1
AT2G21660	AT2G23350	1
AT2G21660	AT2G46780	1
AT2G21660	AT3G11400	1
AT2G21660	AT3G14450	1
AT2G21660	AT3G19090	1
AT2G21660	AT3G19130	1
AT2G21660	AT3G46020	1
AT2G21660	AT3G63450	1
AT2G21660	AT4G00830	1
AT2G21660	AT4G03110	1
AT2G21660	AT4G14300	1
AT2G21660	AT4G17720	1
AT2G21660	AT5G12190	1
AT2G21660	AT5G16840	1
AT2G21660	AT5G19350	1
AT2G21660	AT5G43960	1
AT2G21660	AT5G47620	1
AT2G21660	AT5G60980	1
AT2G21660	AT4G27000	1
AT2G21660	AT1G53650	1
AT2G23350	AT2G23350	1
AT2G23350	AT2G46780	1
AT2G23350	AT3G19090	1
AT2G23350	AT4G03110	1
AT2G23350	AT1G43190	1
AT2G24590	AT3G55460	1
