A	B	Interactor
38	38	1
38	37	1
38	210	1
38	65	1
38	220	1
38	122	1
38	132	1
38	203	1
16	16	1
16	17	1
16	37	1
16	210	1
16	57	1
16	70	1
16	72	1
16	76	1
16	230	1
16	97	1
16	220	1
16	106	1
16	222	1
16	109	1
16	194	1
16	110	1
16	122	1
16	224	1
16	132	1
16	141	1
16	203	1
17	17	1
17	37	1
17	210	1
17	51	1
17	227	1
17	57	1
17	228	1
17	70	1
17	73	1
17	173	1
17	76	1
17	230	1
17	86	1
17	222	1
17	194	1
17	132	1
17	225	1
36	36	1
36	46	1
36	47	1
36	48	1
36	173	1
36	76	1
36	109	1
36	110	1
36	122	1
36	199	1
36	203	1
37	37	1
37	27	1
37	210	1
37	165	1
37	46	1
37	47	1
37	48	1
37	227	1
37	167	1
37	214	1
37	228	1
37	64	1
37	65	1
37	70	1
37	73	1
37	74	1
37	75	1
37	76	1
37	230	1
37	86	1
37	89	1
37	93	1
37	97	1
37	220	1
37	103	1
37	187	1
37	106	1
37	222	1
37	108	1
37	109	1
37	110	1
37	121	1
37	123	1
37	132	1
37	199	1
37	141	1
37	146	1
37	203	1
37	5	1
37	11	1
37	204	1
37	225	1
37	154	1
37	209	1
37	161	1
20	186	1
26	132	1
27	65	1
27	76	1
28	46	1
28	122	1
28	132	1
162	162	1
162	171	1
162	68	1
162	72	1
162	76	1
162	176	1
162	188	1
162	191	1
162	203	1
162	205	1
163	164	1
163	49	1
163	54	1
163	56	1
163	64	1
163	79	1
163	181	1
163	182	1
163	88	1
163	92	1
163	95	1
163	104	1
163	105	1
163	107	1
163	123	1
163	126	1
163	131	1
210	210	1
210	214	1
210	228	1
210	70	1
210	72	1
210	73	1
210	74	1
210	173	1
210	86	1
210	89	1
210	106	1
210	222	1
210	192	1
210	109	1
210	132	1
210	199	1
210	205	1
210	225	1
164	171	1
164	109	1
164	122	1
164	205	1
43	110	1
44	56	1
165	165	1
165	123	1
211	47	1
211	227	1
211	72	1
46	75	1
46	76	1
46	182	1
46	89	1
46	108	1
46	109	1
46	126	1
46	141	1
47	72	1
47	86	1
47	192	1
47	110	1
47	121	1
47	122	1
47	224	1
47	132	1
47	200	1
47	141	1
48	48	1
48	76	1
48	87	1
48	96	1
48	116	1
48	122	1
48	141	1
49	49	1
49	58	1
49	182	1
49	88	1
49	104	1
49	223	1
212	212	1
212	214	1
212	70	1
212	230	1
50	69	1
51	51	1
51	57	1
51	213	1
51	214	1
51	70	1
51	72	1
51	74	1
51	76	1
51	86	1
51	106	1
51	222	1
51	192	1
51	224	1
227	227	1
227	213	1
227	214	1
227	72	1
227	74	1
227	76	1
227	230	1
227	86	1
227	192	1
227	194	1
227	224	1
227	141	1
227	225	1
227	209	1
227	161	1
54	54	1
54	79	1
54	182	1
54	104	1
54	105	1
54	126	1
56	82	1
167	76	1
57	72	1
57	76	1
57	86	1
57	222	1
213	214	1
213	72	1
213	76	1
213	86	1
213	89	1
213	106	1
213	222	1
213	194	1
214	214	1
214	215	1
214	70	1
214	72	1
214	76	1
214	86	1
214	89	1
214	106	1
214	222	1
214	194	1
214	122	1
214	224	1
214	199	1
214	141	1
169	169	1
169	182	1
169	95	1
169	198	1
215	72	1
215	86	1
215	199	1
228	76	1
228	86	1
228	89	1
228	93	1
228	106	1
228	192	1
228	109	1
228	122	1
228	224	1
58	59	1
58	184	1
59	95	1
59	122	1
171	171	1
171	68	1
171	69	1
171	176	1
171	177	1
171	99	1
171	101	1
171	188	1
171	191	1
171	205	1
171	206	1
64	83	1
64	131	1
65	65	1
65	76	1
65	108	1
65	224	1
65	141	1
67	67	1
67	75	1
67	132	1
68	99	1
68	191	1
68	206	1
69	69	1
69	101	1
69	108	1
69	119	1
69	132	1
70	70	1
70	72	1
70	76	1
70	86	1
70	220	1
70	192	1
70	194	1
70	132	1
70	199	1
72	72	1
72	74	1
72	75	1
72	76	1
72	230	1
72	86	1
72	89	1
72	97	1
72	220	1
72	103	1
72	106	1
72	222	1
72	192	1
72	194	1
72	121	1
72	122	1
72	224	1
72	199	1
72	203	1
73	73	1
73	76	1
73	180	1
73	105	1
73	132	1
73	141	1
73	203	1
74	74	1
74	76	1
74	86	1
74	220	1
74	132	1
74	199	1
75	75	1
75	116	1
75	121	1
75	122	1
172	95	1
173	106	1
173	132	1
173	199	1
173	208	1
76	76	1
76	230	1
76	86	1
76	93	1
76	185	1
76	97	1
76	220	1
76	103	1
76	106	1
76	221	1
76	222	1
76	194	1
76	110	1
76	121	1
76	122	1
76	224	1
76	132	1
76	199	1
76	141	1
76	225	1
76	209	1
230	230	1
230	86	1
230	97	1
230	222	1
230	203	1
79	105	1
79	190	1
79	110	1
80	188	1
80	191	1
80	205	1
82	178	1
82	182	1
82	104	1
174	104	1
176	177	1
176	191	1
176	206	1
177	177	1
177	99	1
177	191	1
177	205	1
177	206	1
83	83	1
83	180	1
83	104	1
83	105	1
83	152	1
178	178	1
178	186	1
178	194	1
179	88	1
179	184	1
85	186	1
85	105	1
85	190	1
85	123	1
85	131	1
85	152	1
180	180	1
180	104	1
180	105	1
180	190	1
180	194	1
180	223	1
86	86	1
86	89	1
86	1	1
86	219	1
86	220	1
86	103	1
86	222	1
86	109	1
86	194	1
86	110	1
86	122	1
86	224	1
86	132	1
86	199	1
86	203	1
86	225	1
86	161	1
182	88	1
182	223	1
87	87	1
87	110	1
88	88	1
88	92	1
88	184	1
88	95	1
88	122	1
88	201	1
88	151	1
89	1	1
89	104	1
89	106	1
89	222	1
89	122	1
90	101	1
90	188	1
90	205	1
91	91	1
91	103	1
91	109	1
91	122	1
92	92	1
92	131	1
1	222	1
1	109	1
93	97	1
93	103	1
93	122	1
93	224	1
93	132	1
93	203	1
184	186	1
184	194	1
184	5	1
95	104	1
95	190	1
95	109	1
95	122	1
95	123	1
96	96	1
96	103	1
96	110	1
96	199	1
219	222	1
185	185	1
185	97	1
185	187	1
185	222	1
185	194	1
185	199	1
186	190	1
186	131	1
97	199	1
97	141	1
220	220	1
220	221	1
220	222	1
220	194	1
220	208	1
220	161	1
99	101	1
99	188	1
99	191	1
101	101	1
101	191	1
101	119	1
101	200	1
103	110	1
103	132	1
103	142	1
187	222	1
187	224	1
188	188	1
188	191	1
188	119	1
188	205	1
104	104	1
104	190	1
104	110	1
104	121	1
104	123	1
105	105	1
105	190	1
105	107	1
105	108	1
105	223	1
105	120	1
105	123	1
105	126	1
190	190	1
106	106	1
106	222	1
106	122	1
106	224	1
106	132	1
106	199	1
106	141	1
106	225	1
221	203	1
222	222	1
222	192	1
222	110	1
222	224	1
222	132	1
222	199	1
222	141	1
222	203	1
222	225	1
222	161	1
191	191	1
191	111	1
191	119	1
191	205	1
191	206	1
107	223	1
107	123	1
192	199	1
192	141	1
192	203	1
109	109	1
109	110	1
109	129	1
109	131	1
109	199	1
109	137	1
109	147	1
109	151	1
109	154	1
109	226	1
109	209	1
194	122	1
194	224	1
194	132	1
194	199	1
194	141	1
194	5	1
194	161	1
110	110	1
110	122	1
110	132	1
111	206	1
119	119	1
119	206	1
121	122	1
121	203	1
122	122	1
122	224	1
122	126	1
122	203	1
122	5	1
122	225	1
122	161	1
123	123	1
224	224	1
224	132	1
224	203	1
126	126	1
126	203	1
126	152	1
132	132	1
132	161	1
198	198	1
199	199	1
199	203	1
141	141	1
141	203	1
141	225	1
203	203	1
204	204	1
204	225	1
204	154	1
205	205	1
205	206	1
206	206	1
225	225	1
225	161	1
226	226	1
226	208	1
208	208	1
161	161	1
